chip_path,mse_score,is_anomaly
data\processed\test_chips\Apollo 11 landing site_chip_0077.tif,0.01106208935379982,False
data\processed\test_chips\Apollo 11 landing site_chip_0078.tif,0.008241414092481136,False
data\processed\test_chips\Apollo 11 landing site_chip_0079.tif,0.01901422068476677,False
data\processed\test_chips\Apollo 11 landing site_chip_0080.tif,0.013332484290003777,False
data\processed\test_chips\Apollo 11 landing site_chip_0081.tif,0.006997675634920597,False
data\processed\test_chips\Apollo 11 landing site_chip_0082.tif,0.00749985734000802,False
data\processed\test_chips\Apollo 11 landing site_chip_0083.tif,0.007851935923099518,False
data\processed\test_chips\Apollo 11 landing site_chip_0084.tif,0.009977864101529121,False
data\processed\test_chips\Apollo 11 landing site_chip_0085.tif,0.014594283886253834,False
data\processed\test_chips\Apollo 11 landing site_chip_0086.tif,0.012803138233721256,False
data\processed\test_chips\Apollo 11 landing site_chip_0087.tif,0.01553106028586626,False
data\processed\test_chips\Apollo 11 landing site_chip_0088.tif,0.013914612121880054,False
data\processed\test_chips\Apollo 11 landing site_chip_0089.tif,0.016525976359844208,False
data\processed\test_chips\Apollo 11 landing site_chip_0090.tif,0.009404647164046764,False
data\processed\test_chips\Apollo 11 landing site_chip_0091.tif,0.006475219503045082,False
data\processed\test_chips\Apollo 11 landing site_chip_0092.tif,0.00877385027706623,False
data\processed\test_chips\Apollo 11 landing site_chip_0093.tif,0.00964523945003748,False
data\processed\test_chips\Apollo 11 landing site_chip_0094.tif,0.006577345542609692,False
data\processed\test_chips\Apollo 11 landing site_chip_0095.tif,0.018116464838385582,False
data\processed\test_chips\Apollo 11 landing site_chip_0096.tif,0.014898671768605709,False
data\processed\test_chips\Apollo 11 landing site_chip_0097.tif,0.012484671548008919,False
data\processed\test_chips\Apollo 11 landing site_chip_0098.tif,0.01380694005638361,False
data\processed\test_chips\Apollo 11 landing site_chip_0099.tif,0.00984033290296793,False
data\processed\test_chips\Apollo 11 landing site_chip_0100.tif,0.013960841111838818,False
data\processed\test_chips\Apollo 11 landing site_chip_0101.tif,0.00722083356231451,False
data\processed\test_chips\Apollo 11 landing site_chip_0102.tif,0.011130623519420624,False
data\processed\test_chips\Apollo 11 landing site_chip_0103.tif,0.012828821316361427,False
data\processed\test_chips\Apollo 11 landing site_chip_0104.tif,0.01650409586727619,False
